```csv
topic,subtopic,question,answer,follow_up_questions,follow_up_answers,keywords
Paediatric Upper Limb Conditions: Congenital Pseudoarthrosis of the Clavicle,Treatment and Outcomes,"What are the treatment options for congenital pseudoarthrosis of the clavicle?","Surgical excision and fixation with bone grafting have shown good results and high union rates.","When is surgical intervention typically performed for this condition?","Surgery is usually performed if the appearance or function of the clavicle is compromised by the pseudoarthrosis.","treatment, surgical excision, fixation, bone grafting, union rates, appearance, function"
Paediatric Upper Limb Conditions: Congenital Synostosis of the Forearm,Failure of Differentiation,"What is congenital forearm synostosis?","Congenital forearm synostosis is a failure of differentiation between the radius and ulna, typically resulting in fixed pronation.","Is it usually an isolated condition?","It can be isolated or associated with other anomalies.","congenital forearm synostosis, failure of differentiation, radius, ulna, fixed pronation, associated anomalies"
Paediatric Upper Limb Conditions: Congenital Synostosis of the Forearm,Surgical Intervention,"What is the role of surgery in managing congenital forearm synostosis?","Surgery, such as rotational osteotomy, is rarely indicated due to poor outcomes and high complication rates.","How do most children adapt to this condition?","Most children adapt well to the functional limitations imposed by the synostosis.","surgery, rotational osteotomy, rare indication, poor outcomes, complication rates, adaptation, functional limitations"
Paediatric Upper Limb Conditions: Sprengel's Deformity,Incomplete Scapular Descent,"What is Sprengel's deformity?","Sprengel's deformity is a developmental condition characterized by the incomplete descent of the scapula, leading to hypoplastic shoulder musculature and dysfunction, particularly in abduction.","What other conditions are associated with Sprengel's deformity?","It is associated with scoliosis and omovertebral bars, the latter requiring excision.","Sprengel's deformity, incomplete scapular descent, scapula, hypoplastic musculature, dysfunction, abduction, scoliosis, omovertebral bars"
Paediatric Upper Limb Conditions: Sprengel's Deformity,Management Strategies,"What are the management approaches for Sprengel's deformity?","Management involves observation for mild cases or the Woodward procedure (scapulothoracic release, translation) for most patients.","What additional procedure might be performed during the Woodward procedure?","The Woodward procedure often includes a clavicle osteotomy to prevent brachial plexus injury.","management, observation, Woodward procedure, scapulothoracic release, translation, clavicle osteotomy, brachial plexus injury"
Paediatric Upper Limb Conditions: Trigger Finger/Thumb,Common Presentation in Children,"What is trigger thumb in children?","Trigger thumb is more common than trigger digits in children, presenting with painful triggering and a palpable nodule.","What is the typical age for presentation?","While not explicitly stated for trigger thumb, it is a condition seen in children.","trigger thumb, trigger digits, children, painful triggering, palpable nodule"
Paediatric Upper Limb Conditions: Trigger Finger/Thumb,Treatment Options,"What is the conservative management for trigger thumb?","Conservative management involves observation until age one, as spontaneous resolution is possible.","When is surgical intervention indicated?","Surgical release of the A1 pulley is indicated for persistent or painful cases, requiring meticulous care to avoid damaging the digital nerve and the oblique pulley.","conservative management, observation, spontaneous resolution, surgical release, A1 pulley, persistent cases, painful cases, digital nerve, oblique pulley"
Useful Tables: Swanson's Classification of Congenital Hand Anomalies,Etiology-Based Categories,"What are the main categories in Swanson's classification of congenital hand anomalies?","Swanson categorizes congenital hand anomalies by etiology into five groups: failure of formation, differentiation, duplication, overgrowth/undergrowth, and constriction bands.","What other conditions are considered within this framework?"," Syndromes like Madelung's deformity and thumb duplication (classified by Wassel) are also considered.","Swanson's classification, congenital hand anomalies, etiology, failure of formation, differentiation, duplication, overgrowth, undergrowth, constriction bands, syndromes, Madelung's deformity, Wassel classification"
Useful Tables: Swanson's Classification of Congenital Hand Anomalies,Purpose of Classification,"How does Swanson's classification help in treatment?","It helps guide reconstructive strategies aimed at achieving optimal function.","What is the ultimate goal of these reconstructive strategies?","The goal is to improve the overall function and appearance of the affected hand.","reconstructive strategies, optimal function, hand appearance"
Useful Tables: Wassel's Classification of Thumb Duplications,Classification Basis,"What is the basis of Wassel's classification for thumb duplications?","Wassel's classification of thumb polydactyly describes types based on the pattern of bone duplication or bifurcation within the phalanges (P1, P2, P3).","Which type is most common?","Type 4, involving duplicated P2, is the most common presentation.","Wassel's classification, thumb polydactyly, bone duplication, bifurcation, phalanges, P1, P2, P3, Type 4, most common"
Useful Tables: Wassel's Classification of Thumb Duplications,Surgical Goal,"What is the objective of surgical reconstruction guided by Wassel's classification?","The objective is to create the most functional and aesthetically acceptable thumb.","How is this achieved?","By carefully selecting the most viable duplicated element for reconstruction.","surgical reconstruction, functional thumb, aesthetically acceptable thumb, viable element"
Causes of Paediatric Genu Valgum and Genu Varum,Genu Varum Causes,"What are the causes of paediatric genu varum?","Paediatric genu varum can be caused by Blount's disease, rickets, achondroplasia, and multiple hereditary osteochondromatosis.","What are common causes of genu valgum?","Genu valgum can be physiologic or pathological, due to fibula hemimelia, Morquio syndrome, MED, cozen's fracture, or rickets.","paediatric genu varum, genu valgum, causes, Blount's disease, rickets, achondroplasia, multiple hereditary osteochondromatosis, fibula hemimelia, Morquio syndrome, MED, cozen's fracture, physiologic, pathological"
Causes of Paediatric Genu Valgum and Genu Varum,Importance of Diagnosis,"Why is identifying the underlying cause of genu valgum or varum crucial?","Identifying the underlying cause is crucial for appropriate management.","How does identifying the cause affect management?","Knowing the cause dictates the specific treatment approach for the deformity.","underlying cause, crucial, management, treatment approach"
Differential Diagnosis of Intoeing,Common Causes,"What are the common causes of intoeing in children?","Intoeing in children can be caused by Metatarsus Adductus, Internal Tibial Torsion, Femoral Anteversion, Club Foot, or Cerebral Palsy.","Are these conditions always pathological?","Metatarsus Adductus and Internal Tibial Torsion are often benign and resolve spontaneously, while Club Foot and Cerebral Palsy are pathological.","intoeing, children, causes, Metatarsus Adductus, Internal Tibial Torsion, Femoral Anteversion, Club Foot, Cerebral Palsy, benign, pathological, resolves spontaneously"
Differential Diagnosis of Intoeing,Diagnostic Tools,"How can one differentiate between conditions causing intoeing?","Assessing the thigh-foot axis and foot progression angle helps differentiate these conditions.","What other clinical findings are important?","Evaluating gait patterns and palpating bony landmarks are also essential for diagnosis.","thigh-foot axis, foot progression angle, differentiate, gait, foot posture, limb alignment"
Examination of Paediatric Lower Limb Angular Deformity,Assessment Components,"What are the key components of examining a paediatric lower limb for angular deformity?","Examination involves assessing overall appearance (stature, scars, deformity location), gait (thrust, anatalgia), and palpation to measure intermalleolar distance and assess correctability.","What measurements are taken during the examination?","While lying down, the pelvis is squared, and the deformity is measured. Joint ROM and rotational profile are also evaluated.","paediatric lower limb, angular deformity, examination, appearance, gait, palpation, intermalleolar distance, correctability, joint ROM, rotational profile"
Examination of Paediatric Lower Limb Angular Deformity,Diagnostic Imaging,"What imaging is used for a comprehensive assessment of paediatric lower limb angular deformities?","Standing X-rays, CT scanograms, and a family history provide a comprehensive assessment.","Why is a family history important in this context?","A family history can reveal genetic predispositions or inherited conditions contributing to the deformity.","standing X-rays, CT scanograms, family history, comprehensive assessment, diagnostic imaging"
Limb Deficiencies: Fibula Hemimelia,Definition and Association,"What is fibula hemimelia?","Fibula hemimelia is the most common limb deficiency, involving partial or complete absence of the fibula.","What other deformities are often associated with it?","It is often associated with other limb deformities, including knee and foot issues.","fibula hemimelia, limb deficiency, absence of fibula, limb deformities, knee issues, foot issues"
Limb Deficiencies: Fibula Hemimelia,Management Considerations,"How is fibula hemimelia managed?","Management is dictated by overall limb and foot function. Amputation is considered if the foot is severely dysplastic or flail, ideally before age three for better psychological impact.","What is the ideal age for amputation consideration?","Amputation is ideally considered before the age of three to minimize psychological impact and improve prosthetic adaptation.","management, limb function, foot function, amputation, severe dysplastic foot, flail foot, psychological impact"
Limb Deficiencies: Proximal Femoral Focal Deficiency (PFFD),Spectrum of Femoral Shortening,"What is Proximal Femoral Focal Deficiency (PFFD)?","PFFD is a spectrum of femoral shortening, ranging from mild shortening to complete absence of the proximal femur.","What other conditions are often associated with PFFD?","It is often associated with other limb deficiencies, particularly fibula hemimelia.","Proximal Femoral Focal Deficiency, PFFD, spectrum, femoral shortening, limb deficiencies, fibula hemimelia"
Limb Deficiencies: Proximal Femoral Focal Deficiency (PFFD),Management and Surgical Options,"What are the management options for PFFD?","Management is reconstructive or ablative, based on hip stability, lower leg function, bone deficiencies, and knee/ankle stability.","When is surgery typically performed, and what are the options?","Surgery is usually delayed until ages 2-3, with options including lengthening, knee fusion with foot ablation, rotationplasty, or femoro-pelvic fusion, aiming to optimize limb length and function for prosthetic use.","management, reconstructive, ablative, hip stability, lower leg function, bone deficiencies, knee stability, ankle stability, surgery, lengthening, knee fusion, foot ablation, rotationplasty, femoro-pelvic fusion"
Limb Deficiencies: Tibial Hemimelia,Incidence and Associations,"What is tibial hemimelia?","Tibial hemimelia is a less common limb deficiency than fibula hemimelia and is often associated with other anomalies, including fibula hemimelia and equinovarus foot deformities.","What are common associated anomalies?","It is often associated with fibula hemimelia and foot deformities like equinovarus.","tibial hemimelia, less common, associated anomalies, fibula hemimelia, equinovarus foot deformities"
Limb Deficiencies: Tibial Hemimelia,Treatment Goals,"What dictates the management of tibial hemimelia?","Management depends on knee extension and dictates reconstruction or prosthesis use after foot ablation.","What is the primary goal of treatment?","The primary goal is to achieve a functional, plantigrade, and braceable foot, providing the best possible outcome for ambulation.","management, knee extension, reconstruction, prosthesis, foot ablation, functional foot, plantigrade foot, braceable foot, ambulation"
Paediatric Limb Length Discrepancy (LLD) Management,Assessment Methods,"How is paediatric Limb Length Discrepancy (LLD) assessed?","LLD assessment involves evaluating gait, pelvic tilt, and measuring true and apparent lengths.","What methods are used for growth prediction?","Growth prediction methods, such as those by Green & Anderson, guide management decisions.","paediatric limb length discrepancy, LLD, assessment, gait, pelvic tilt, true length, apparent length, growth prediction, Green & Anderson"
Paediatric Limb Length Discrepancy (LLD) Management,Treatment Options,"What are the management options for LLD?","Management can include shoe raises, epiphysiodesis (bone growth arrest), shortening osteotomies, lengthening procedures (distraction osteogenesis), or amputation for severe discrepancies.","What factors influence the decision-making process for LLD treatment?","Decisions balance functional goals with surgical risks and the patient's age.","management, shoe raises, epiphysiodesis, shortening osteotomy, lengthening procedures, distraction osteogenesis, amputation, functional goals, surgical risks, patient age"
Paediatric Lower Limb Deformities: Genu Valgum,Normal Presentation and Pathological Causes,"When is genu valgum considered normal in children?","Genu valgum can be physiologic up to age 7.","What are the pathological causes of genu valgum?","Pathological causes include rickets, MED (Mesenchymal Epithelial Dysplasia), and trauma (Cozen's fracture).","genu valgum, physiologic, pathological, rickets, MED, Cozen's fracture, trauma"
Paediatric Lower Limb Deformities: Genu Valgum,Management Approaches,"How is genu valgum managed?","Management can include observation, bracing, guided growth (tethering lateral physis), hemiepiphysiodesis, or osteotomy for severe or progressive deformities, usually performed after age 10.","What is the typical age for surgical intervention?","Surgery is usually performed after age 10 for severe or progressive deformities.","management, observation, bracing, guided growth, hemiepiphysiodesis, osteotomy, severe deformities, progressive deformities, lateral physis"
Paediatric Lower Limb Deformities: Genu Varum and Blount's Disease,Genu Varum and Blount's Disease,"What are the causes of genu varum in children?","Genu varum can be physiologic or pathological, with Blount's disease being the most common pathological cause.","What is Blount's disease?","Blount's disease is progressive and more aggressive in infants, caused by medial tibial physeal overload.","genu varum, physiologic, pathological, Blount's disease, medial tibial physeal overload, infants, progressive"
Paediatric Lower Limb Deformities: Genu Varum and Blount's Disease,Diagnostic and Management,"How is Blount's disease evaluated?","Evaluation involves X-rays to assess the metaphyseal-diaphyseal angle (MDA), with MDA >16 degrees suggesting Blount's.","What are the management options for Blount's disease?","Management ranges from observation for physiologic bowing to osteotomy or hemiepiphysiodesis for Blount's disease.","X-rays, metaphyseal-diaphyseal angle, MDA, Blount's disease diagnosis, management, observation, osteotomy, hemiepiphysiodesis"
Paediatric Lower Limb Deformities: Tibial Bowing,Types of Tibial Bowing,"What are the types of tibial bowing in children?","Tibial bowing can be posteromedial, which is often physiologic and resolves within 1 year, or anterolateral, which is associated with congenital pseudoarthrosis of the tibia.","What are the implications of each type?","Posteromedial bowing may cause leg length discrepancy requiring correction, while anterolateral bowing with pseudoarthrosis is challenging and requires specialized management.","tibial bowing, posteromedial bowing, anterolateral bowing, physiologic, congenital pseudoarthrosis of the tibia, leg length discrepancy, specialized management"
Paediatric Lower Limb Deformities: Tibial Bowing,Management of Anterolateral Bowing,"How is anterolateral tibial bowing with pseudoarthrosis managed?","Anterolateral bowing with pseudoarthrosis requires specialized management, often involving IM nailing, external fixation, or vascularized fibula transfer.","What is the goal of this management?","The goal is to achieve union and limb length equalization.","anterolateral bowing, pseudoarthrosis, IM nailing, external fixation, vascularized fibula transfer, union, limb length equalization"
Paediatric Rotational Abnormalities: Examination of Lower Limb Deformities,Examination Techniques,"What does the examination of paediatric lower limb deformities involve?","It involves assessing overall appearance, gait, and joint ROM.","What specific assessments are performed?","Specific assessments include the block test for leg length discrepancy, rotational profile (femoral version via Gage's test, tibial torsion via thigh-foot angle), and palpation of bony landmarks.","paediatric lower limb deformities, examination, appearance, gait, joint ROM, block test, rotational profile, femoral version, Gage's test, tibial torsion, thigh-foot angle, palpation"
Paediatric Rotational Abnormalities: Examination of Lower Limb Deformities,Diagnostic Imaging,"What imaging is essential for planning paediatric lower limb deformity correction?","Full limb X-rays and CT scanograms are essential for accurate planning.","Why is detailed imaging necessary?","Detailed imaging provides precise anatomical information for surgical planning and assessment of rotational abnormalities.","full limb X-rays, CT scanograms, accurate planning, diagnostic imaging, rotational abnormalities"
Paediatric Rotational Abnormalities: Examination Techniques,Assessing Rotational Issues,"What techniques are used to assess rotational abnormalities in children's lower limbs?","Assessing rotational abnormalities involves evaluating the foot progression angle, thigh-foot angle (prone), femoral version (Gage's test), and assessing correctability of foot deformities.","What do these assessments help differentiate?","These help differentiate conditions like femoral anteversion and tibial torsion, which often cause intoeing.","rotational abnormalities, foot progression angle, thigh-foot angle, femoral version, Gage's test, foot deformities, differentiate, femoral anteversion, tibial torsion, intoeing"
Paediatric Rotational Abnormalities: Examination Techniques,Treatment Approach,"What is the typical management approach for rotational abnormalities?","Management is typically conservative, with surgery reserved for symptomatic older children with significant functional limitations.","When is surgery considered?","Surgery is considered when conservative measures fail or when deformities cause significant functional or psychological impairment.","management, conservative, surgery, symptomatic children, functional limitations, psychological impact"
Paediatric Rotational Abnormalities: Femoral Torsion,Definition and Age-Related Changes,"What is femoral torsion?","Femoral torsion refers to the physiological anteversion of the femur, which decreases with age.","What is the typical change in anteversion with age?","The anteversion decreases from approximately 40 degrees at birth to 10-15 degrees by skeletal maturity.","femoral torsion, physiological anteversion, femur, decreases with age, skeletal maturity"
Paediatric Rotational Abnormalities: Femoral Torsion,Consequences and Management,"What can excessive femoral anteversion cause?","Excessive anteversion (>70 degrees IR, <10 degrees ER in older children) can cause intoeing, awkward gait, or anterior knee pain (miserable malalignment syndrome).","What is the management for excessive femoral anteversion?","Management is typically conservative, with surgery reserved for symptomatic older children or those with significant functional or psychological impact.","excessive anteversion, intoeing, awkward gait, anterior knee pain, miserable malalignment syndrome, conservative management, surgery, rotational osteotomy"
Paediatric Rotational Abnormalities: Metatarsus Adductus,Definition and Associations,"What is metatarsus adductus?","Metatarsus adductus is forefoot adduction with a normal hindfoot, common in newborns and often associated with DDH (Developmental Dysplasia of the Hip).","Does it usually require intervention?","Most cases resolve spontaneously by age 4.","metatarsus adductus, forefoot adduction, normal hindfoot, newborns, DDH, resolve spontaneously"
Paediatric Rotational Abnormalities: Metatarsus Adductus,Treatment Strategies,"How are metatarsus adductus deformities managed?","Flexible deformities are managed with stretching, while stiffer cases in younger children may benefit from serial casting. Surgery (osteotomies) is reserved for older children with persistent, rigid deformities causing functional issues.","When is surgery indicated for metatarsus adductus?","Surgery is reserved for older children with persistent, rigid deformities that cause functional problems.","flexible deformities, stretching, serial casting, osteotomies, persistent deformities, rigid deformities, functional issues"
Paediatric Rotational Abnormalities: Skewfoot,Definition and Characteristics,"What is skewfoot?","Skewfoot is a complex deformity characterized by forefoot adduction and hindfoot valgus, often considered a packaging disorder.","How is it typically managed?","Most cases are asymptomatic and observed. Symptomatic deformities require combination osteotomies (calcaneal osteotomy for valgus, medial column lengthening/lateral shortening for adduction), which are technically demanding.","skewfoot, complex deformity, forefoot adduction, hindfoot valgus, packaging disorder, asymptomatic, osteotomies, calcaneal osteotomy, medial column lengthening, lateral column shortening"
Paediatric Rotational Abnormalities: Skewfoot,Surgical Complexity,"What are the challenges with surgical correction of skewfoot?","Combination osteotomies required to correct skewfoot are technically demanding and aim to correct the multiplanar deformity.","What specific osteotomies are typically performed?","These include calcaneal osteotomy for the hindfoot valgus and medial column lengthening or lateral column shortening for the forefoot adduction.","surgical correction, combination osteotomies, technically demanding, multiplanar deformity, calcaneal osteotomy, medial column lengthening, lateral column shortening"
Paediatric Rotational Abnormalities: Tibial Torsion,Assessment and Normal Progression,"How is tibial torsion assessed?","Tibial torsion is assessed by the thigh-foot angle, with normal external torsion increasing with age.","What is internal tibial torsion?","Internal tibial torsion is a common cause of intoeing, often resolving spontaneously.","tibial torsion, thigh-foot angle, external torsion, internal tibial torsion, intoeing, resolve spontaneously"
Paediatric Rotational Abnormalities: Tibial Torsion,Indications for Surgery,"When is surgical intervention indicated for tibial torsion?","Surgery (supramalleolar osteotomy) is indicated only for symptomatic children over 10 years old with persistent deformities impacting gait or function.","What type of surgery is performed?","The surgical procedure is a supramalleolar osteotomy.","surgery, supramalleolar osteotomy, symptomatic children, persistent deformities, gait, function"
Congenital Dislocations: Knee and Patella,Knee Dislocation,"What is congenital knee dislocation?","Congenital knee dislocation is a rare condition, often associated with breech presentation or ACL deficiency.","How is it typically managed?","Management usually involves closed reduction and serial casting.","congenital knee dislocation, rare, breech presentation, ACL deficiency, closed reduction, serial casting"
Congenital Dislocations: Knee and Patella,Patellar Dislocation,"What is congenital patellar dislocation?","Congenital patellar dislocation presents with knee hyperextension and a laterally displaced patella.","What is required for functional recovery?","Surgical correction of soft tissues and patellar alignment is necessary, and the quadriceps mechanism must be addressed for functional recovery.","congenital patellar dislocation, knee hyperextension, laterally displaced patella, surgical correction, soft tissues, patellar alignment, quadriceps mechanism"
Coxa Vara (Developmental),Definition and Presentation,"What is developmental coxa vara?","Developmental coxa vara is characterized by a neck-shaft angle less than 120 degrees, often presenting in children aged 1-5 years with a Trendelenburg gait.","What is the underlying cause?","It results from an ossification defect in the inferomedial proximal femoral physis.","developmental coxa vara, neck-shaft angle, Trendelenburg gait, ossification defect, proximal femoral physis"
Coxa Vara (Developmental),Diagnostic Signs and Management,"What is a pathognomonic sign of developmental coxa vara on X-ray?","The 'inverted Y' sign on X-ray is pathognomonic.","How is management guided, and what are the surgical options?","Management is guided by the Hilgenreiner's Epiphyseal Angle (HEA); angles less than 45 degrees usually correct spontaneously, 45-60 degrees require observation, and >60 degrees necessitates surgical correction, typically with a Pawlows Y-shaped osteotomy.","inverted Y sign, X-ray, Hilgenreiner's Epiphyseal Angle, HEA, surgical correction, Pawlows Y-shaped osteotomy"
Developmental Dysplasia of the Hip (DDH),Prevalence and Risk Factors,"What is Developmental Dysplasia of the Hip (DDH)?","DDH is a developmental condition occurring after birth, affecting about 1 in 1000 live births, predominantly in females (80%) and often involving the left hip (60%).","What are the risk factors for DDH?","Risk factors include genetic predisposition, intrauterine crowding (breech presentation, oligohydramnios, twins), and neuromuscular conditions.","Developmental Dysplasia of the Hip, DDH, prevalence, risk factors, females, left hip, genetic predisposition, intrauterine crowding, breech presentation, oligohydramnios, twins, neuromuscular conditions"
Developmental Dysplasia of the Hip (DDH),Pathophysiology and Clinical Signs,"What is the pathophysiology of DDH?","Pathophysiology involves a shallow acetabulum and femoral anteversion, leading to abnormal enclavement of the femoral head.","What are the clinical signs and diagnostic tests for DDH?","Clinical diagnosis relies on leg length assessment, range of motion, and specific tests like Barlow's and Ortolani's.","pathophysiology, shallow acetabulum, femoral anteversion, enclavement, clinical diagnosis, leg length assessment, range of motion, Barlow's test, Ortolani's test"
Developmental Dysplasia of the Hip (DDH),Imaging and Parameters,"What imaging is used for DDH diagnosis?","Imaging includes ultrasound (for infants <4 months) and X-rays (once the femoral head ossifies).","What parameters are assessed on imaging?","Parameters assessed include Graf angles, Perkins line, Shenton's line, acetabular index, and Center Edge (CE) angle.","imaging, ultrasound, X-rays, femoral head ossification, Graf angles, Perkins line, Shenton's line, acetabular index, Center Edge angle"
Management of Developmental Dysplasia of the Hip (DDH),Age-Based Treatment,"How does DDH treatment vary with age?","Treatment depends on the child's age at diagnosis. For infants 0-4 months with a reducible hip, the Pavlik harness is the first-line treatment.","What if the hip is irreducible or treatment fails?","For irreducible hips, failed closed treatment, or very narrow safe zones, open reduction with or without adductor tenotomy and hip spica casting is performed.","DDH treatment, age, Pavlik harness, reducible hip, irreducible hip, open reduction, adductor tenotomy, hip spica casting"
Management of Developmental Dysplasia of the Hip (DDH),Treatment for Older Children,"What are the primary treatments for older children with DDH?","For older children (4 months to 8 years), open reduction and spica casting are primary, often requiring femoral or pelvic osteotomies if reduction is under tension or the dysplasia is severe.","What happens after age 8?","After 8 years, remodelling potential is poor, and surgery is generally reserved for salvage procedures or specific indications.","older children, open reduction, spica casting, femoral osteotomy, pelvic osteotomy, severe dysplasia, remodelling potential, salvage procedures"
Orthopaedic Classifications: Graf Classification of DDH,Classification System,"What is Graf's classification for DDH?","Graf's classification of Developmental Dysplasia of the Hip (DDH) is based on the alpha angle (bony acetabular coverage) and beta angle (cartilaginous coverage).","What are the different types in Graf's classification?","Type 1 is normal, Type 2 is borderline, Type 3 indicates subluxation, and Type 4 indicates dislocation.","Graf's classification, DDH, alpha angle, beta angle, acetabular coverage, cartilaginous coverage, normal, borderline, subluxation, dislocation"
Orthopaedic Classifications: Graf Classification of DDH,Application in Infants,"When is Graf's classification primarily used?","This classification is used in infants under 4 months before the femoral head ossifies.","What is the significance of this timing?","It allows for early diagnosis and initiation of appropriate treatment for DDH.","infants, femoral head ossification, early diagnosis, management, ultrasound"
Orthopaedic Classifications: Perthes Disease - Herring Lateral Pillar Height,Classification Stages,"What is Herring's classification of Perthes disease?","Herring's classification of Perthes disease assesses lateral pillar height: Stage A (normal), Stage B (>50% height), Stage B/C (50% with physeal narrowing), and Stage C (<50% height).","What is the significance of the lateral pillar height?","This classification is crucial for prognosis and guiding treatment, as lateral pillar collapse significantly impacts outcomes.","Herring's classification, Perthes disease, lateral pillar height, Stage A, Stage B, Stage B/C, Stage C, prognosis, treatment, lateral pillar collapse"
Paediatric Hip Conditions: Coxa Vara,Definition and Presentation,"What is coxa vara?","Coxa vara is a condition where the neck-shaft angle of the femur is less than 120 degrees, often presenting in children aged 1-5 years with a Trendelenburg gait.","What is the underlying cause of developmental coxa vara?","It results from an ossification defect in the inferomedial proximal femoral physis.","coxa vara, developmental coxa vara, neck-shaft angle, Trendelenburg gait, ossification defect, proximal femoral physis"
Paediatric Hip Conditions: Developmental Dysplasia of the Hip (DDH),Understanding DDH,"What is DDH?","DDH is a developmental condition occurring after birth where the hip joint doesn't form properly, affecting the acetabulum and femoral head.","What are the key risk factors?","Risk factors include genetic predisposition, intrauterine crowding, and neuromuscular conditions.","DDH, developmental condition, hip joint, acetabulum, femoral head, risk factors, genetic predisposition, intrauterine crowding, neuromuscular conditions"
Paediatric Hip Conditions: Femoral Head Blood Supply,Significance,"Why is the femoral head blood supply important in paediatric orthopaedics?","Understanding the femoral head blood supply is crucial for conditions like Perthes disease and Slipped Capital Femoral Epiphysis (SCFE), where disruptions can lead to avascular necrosis (AVN).","What are common conditions affecting the femoral head blood supply?","Perthes disease and SCFE are prime examples where compromised blood supply leads to significant pathology.","femoral head blood supply, paediatric orthopaedics, avascular necrosis, AVN, Perthes disease, Slipped Capital Femoral Epiphysis, SCFE"
