topic,subtopic,question,answer,follow_up_questions,follow_up_answers,keywords
Recovery Timeline,Non-healing Fracture,"What indicates a potential non-healing proximal humerus fracture?","Ongoing pain persisting more than 3 months after the injury might suggest a non-healing fracture, though this is rare for this type of injury.","When should I be concerned about delayed healing?","Contact the fracture clinic for assessment if you experience persistent pain more than 3 months post-injury, as this suggests a potential non-healing fracture.","non-healing fracture, ongoing pain, more than 3 months, fracture clinic assessment"
Contact Information,Virtual fracture clinic,"What is the contact information for the Virtual Fracture Clinic?","Contact the Virtual Fracture Clinic at 024 7696 9237 (Monday to Friday, 9am to 4pm). Leave a voicemail with your full name and phone number if they are unavailable. For emergencies outside these hours, go to A&E.","How can I reach the Virtual Fracture Clinic for concerns?","Call 024 7696 9237 during operating hours (Mon-Fri, 9am-4pm) and leave a voicemail if they are busy. For emergencies, go to A&E.","contact information, Virtual Fracture Clinic, phone number, voicemail, emergencies, A&E"
Contact Information,Translation Services,"What accessibility options are available for this leaflet?","The Trust has access to interpreting and translation services. Contact 024 7696 5079 for information in another language or format.","How can I request the leaflet in a different format or language?","Contact 024 7696 5079 for assistance with alternative formats or languages.","translation services, interpreting services, alternative formats, large print, audio, Braille, different language"
Trust Information,Smoke Free Policy,"What is the Trust's policy on smoking?","The Trust operates a smoke-free policy, meaning smoking is prohibited anywhere on its premises, both indoors and outdoors.","What is the policy regarding smoking on Trust property?","Smoking is not permitted anywhere on the Trust's premises, including indoors and outdoors.","smoke-free policy, Trust property, no smoking"
Trust Information,Feedback,"How can I provide feedback about the Trust's services?","You can share your experience by scanning the QR code or visiting www.uhcw.nhs.uk/feedback.","Where can I give feedback or make comments?","Provide feedback by scanning a QR code or visiting www.uhcw.nhs.uk/feedback.","feedback, share experience, QR code, website"
Document History,Details,"What are the details of this document?","Department: Trauma & Orthopaedics, Contact: 29237, Updated: April 2024, Review: April 2027, Version: 1.4, Reference: HIC/LFT/2495/20.","What information is provided about the document's origin and review?","The document is from the Trauma & Orthopaedics department, updated in April 2024, with a review date of April 2027, version 1.4, and reference HIC/LFT/2495/20.","document history, department, contact, updated, review date, version, reference"
What is a distal radius fracture?,Definition,"What is a distal radius fracture?","A distal radius fracture is a break in the radius bone, near the wrist. It is the most common type of wrist fracture.","What bone is affected in this fracture?","The fracture is in the distal part of the radius, near the wrist, which is the most common location.","distal radius fracture, Colles fracture, break, radius bone, wrist, common type"
What is a distal radius fracture?,Causes,"What causes a distal radius fracture?","A wrist fracture most commonly occurs from a fall onto an outstretched hand, but any sudden force pushing the hand backwards can cause it. An X-ray confirms the break.","What is the typical mechanism of injury for a distal radius fracture?","A fall onto an outstretched hand is the most frequent cause, but any sudden backward force on the hand can also result in this fracture.","distal radius fracture causes, fall onto outstretched hand, sudden force, X-ray confirmation"
What is a distal radius fracture?,Treatment,"How are distal radius fractures typically treated?","Most are treated non-operatively with a cast for 4-6 weeks. If fragments are significantly displaced or unstable, manipulation or surgery with metalwork fixation may be needed.","What are the general treatment approaches for distal radius fractures?","Treatment usually involves immobilization in a cast for 4-6 weeks, or surgery for displaced or unstable fractures.","treatment, distal radius fracture, immobilisation, cast, surgery, metalwork fixation"
What is a distal radius fracture?,Post-Fracture Expectations,"What can I expect after a distal radius fracture heals?","After healing, the wrist may have a slightly different appearance due to new bone formation, but this is usually cosmetic and shouldn't affect functional use. Pain and stiffness can persist for months.","Will my wrist look the same after the fracture heals?","The wrist's appearance might change slightly due to new bone formation, but this is generally cosmetic and doesn't impact function.","post-fracture, healing, appearance change, cosmetic, functional use, pain, stiffness"
What is a distal radius fracture?,Sensation Changes,"Could I experience numbness or pins and needles after a distal radius fracture?","Some numbness or mild pins and needles in the fingers or hand may occur due to nerve irritation or swelling near the injury, or nerve stretching during the trauma. This usually resolves over months, but persistent or worsening symptoms warrant medical discussion.","What might cause numbness or tingling in my hand after a fracture?","Numbness or pins and needles can be caused by irritated nerves or swelling near the fracture, typically resolving over time but requiring medical attention if persistent.","sensation changes, numbness, pins and needles, fingers, hand, nerve irritation, swelling, persistent symptoms"
What is a distal radius fracture?,Rare Complications,"What is a rare complication of distal radius fractures?","Occasionally, patients experience a rupture (tear) of the extensor pollicis longus tendon, which affects thumb extension. This may necessitate a tendon transfer to restore function.","What is extensor pollicis longus rupture?","It refers to a tear in the extensor pollicis longus tendon, affecting thumb extension and potentially requiring a tendon transfer.","rare complications, tendon rupture, extensor pollicis longus, thumb function, tendon transfer"
What is a distal radius fracture?,When can I start driving?,"When is it safe to resume driving after a distal radius fracture?","You can return to driving when you have full control of the car, can perform emergency stops pain-free, and are no longer using a splint. Consult your surgeon and insurance company.","What are the criteria for returning to driving?","Criteria include having full car control, pain-free emergency stops, and no longer using a splint. Check with your surgeon and insurer.","driving, return to driving, full car control, emergency stop, splint removal, insurance company"
What is a distal radius fracture?,Thumb pain,"Can I experience thumb pain after a distal radius fracture?","Yes, some patients experience increased thumb pain after a distal radius fracture, but this usually subsides with time. It's important to keep the thumb moving gently without over-stressing it.","Is thumb pain common after this injury?","Yes, thumb pain can occur, but it usually resolves over time with gentle movement.","thumb pain, distal radius fracture, subsides with time, gentle movement"
What is a distal radius fracture?,Discomfort in the wrist on the little finger side,"What might cause discomfort on the little finger side of the wrist after a fracture?","Discomfort on the little finger side, especially with an accompanying ulna fracture, can occur due to injury to the surrounding ligament complex. This typically resolves over months but may require discussion with a therapist or consultant if problematic.","What causes discomfort on the pinky side of the wrist?","This discomfort can be due to injury to the ligament complex near the little finger side, particularly if there was also an ulna fracture.","discomfort, little finger side, wrist, ulna fracture, ligament complex"
What is a distal radius fracture?,Numbness or a mild pins and needles sensation,"Could I experience numbness or pins and needles after a distal radius fracture?","Some numbness or mild pins and needles in the fingers or hand may occur due to nerve irritation or swelling near the injury, or nerve stretching during the trauma. This usually resolves over months, but persistent or worsening symptoms warrant medical discussion.","What might cause pins and needles in my hand after a fracture?","Numbness or pins and needles can be caused by irritated nerves or swelling near the fracture, typically resolving over time but requiring medical attention if persistent.","sensation changes, numbness, pins and needles, fingers, hand, nerve irritation, swelling, persistent symptoms"
What is a distal radius fracture?,Tendon rupture (extensor pollicis longus),"What is extensor pollicis longus rupture?","This is a rare complication where the tendon that lifts the thumb tip tears, potentially requiring a tendon transfer to restore function.","What is a tendon rupture in this context?","It refers to a tear in the extensor pollicis longus tendon, which affects thumb extension and may necessitate a tendon transfer.","tendon rupture, extensor pollicis longus, thumb function, tendon transfer"
What is a distal radius fracture?,Slightly different appearance of wrist,"Why might my wrist look different after healing?","New bone formation during healing can cause a slight cosmetic change or bump on the wrist, which usually doesn't affect functional use.","Will my wrist look the same after the fracture heals?","The wrist's appearance might change slightly due to new bone formation, but this is generally cosmetic and doesn't impact function.","different appearance, cosmetic change, bump, functional use"
Clavicle Fracture,General Information,Purpose of Booklet,"What is the purpose of this booklet about distal radius fractures?","This booklet provides helpful information on recovery and exercises for distal radius fractures and includes contact details for further advice.","What information does this booklet contain?","It provides information on distal radius fracture recovery, exercises, and contact details for assistance.","purpose of booklet, distal radius fracture, recovery, exercises, contact details"
Clavicle Fracture,What is a distal radius fracture?,Definition,"What is a distal radius fracture?","A distal radius fracture is a break in the radius bone, near the wrist. It is the most common type of wrist fracture.","What bone is affected in this fracture?","The fracture is in the distal part of the radius, near the wrist, which is the most common location.","distal radius fracture, Colles fracture, break, radius bone, wrist, common type"
Clavicle Fracture,What is a distal radius fracture?,Treatment,"How are distal radius fractures typically treated?","Most are treated non-operatively with a cast for 4-6 weeks. If fragments are significantly displaced or unstable, manipulation or surgery with metalwork fixation may be needed.","What are the general treatment approaches for distal radius fractures?","Treatment usually involves immobilization in a cast for 4-6 weeks, or surgery for displaced or unstable fractures.","treatment, distal radius fracture, immobilisation, cast, surgery, metalwork fixation"
Clavicle Fracture,What is a distal radius fracture?,Post-Fracture Expectations,"What can I expect after a distal radius fracture heals?","After healing, the wrist may have a slightly different appearance due to new bone formation, but this is usually cosmetic and shouldn't affect functional use. Pain and stiffness can persist for months.","Will my wrist look the same after the fracture heals?","The wrist's appearance might change slightly due to new bone formation, but this is generally cosmetic and doesn't impact function.","post-fracture, healing, appearance change, cosmetic, functional use, pain, stiffness"
Clavicle Fracture,What is a distal radius fracture?,Sensation Changes,"Could I experience numbness or pins and needles after a distal radius fracture?","Some numbness or mild pins and needles in the fingers or hand may occur due to nerve irritation or swelling near the injury, or nerve stretching during the trauma. This usually resolves over months, but persistent or worsening symptoms warrant medical discussion.","What might cause numbness or tingling in my hand after a fracture?","Numbness or pins and needles can be caused by irritated nerves or swelling near the fracture, typically resolving over time but requiring medical attention if persistent.","sensation changes, numbness, pins and needles, fingers, hand, nerve irritation, swelling, persistent symptoms"
Clavicle Fracture,What is a distal radius fracture?,Tendon rupture (extensor pollicis longus),"What is extensor pollicis longus rupture?","This is a rare complication where the tendon that lifts the thumb tip tears, potentially requiring a tendon transfer to restore function.","What is a tendon rupture in this context?","It refers to a tear in the extensor pollicis longus tendon, which affects thumb extension and may necessitate a tendon transfer.","tendon rupture, extensor pollicis longus, thumb function, tendon transfer"
Clavicle Fracture,What is a distal radius fracture?,Slightly different appearance of wrist,"Why might my wrist look different after healing?","New bone formation during healing can cause a slight cosmetic change or bump on the wrist, which usually doesn't affect functional use.","Will my wrist look the same after the fracture heals?","The wrist's appearance might change slightly due to new bone formation, but this is generally cosmetic and doesn't impact function.","different appearance, cosmetic change, bump, functional use"
Clavicle Fracture,When can I start driving?,"When is it safe to resume driving after a clavicle fracture?","You can return to driving when you are no longer using your sling, can walk comfortably, and can perform an emergency stop pain-free. Always test your ability to drive in a safe place first.","What are the criteria for returning to driving?","Criteria include being sling-free, walking comfortably, and performing an emergency stop without pain. Test driving ability safely first.","driving, return to driving, no longer using sling, walk comfortably, emergency stop pain-free"
Clavicle Fracture,Thumb pain,"Can I experience thumb pain after a clavicle fracture?","Yes, some patients experience increased thumb pain after a clavicle fracture, but this usually subsides with time. It's important to keep the thumb moving gently without over-stressing it.","Is thumb pain common after this injury?","Yes, thumb pain can occur, but it usually resolves over time with gentle movement.","thumb pain, clavicle fracture, subsides with time, gentle movement"
Clavicle Fracture,Discomfort in the wrist on the little finger side,"What might cause discomfort on the little finger side of the wrist after a fracture?","Discomfort on the little finger side, especially with an accompanying ulna fracture, can occur due to injury to the surrounding ligament complex. This typically resolves over months but may require discussion with a therapist or consultant if problematic.","What causes discomfort on the pinky side of the wrist?","This discomfort can be due to injury to the ligament complex near the little finger side, particularly if there was also an ulna fracture.","discomfort, little finger side, wrist, ulna fracture, ligament complex"
Clavicle Fracture,Numbness or a mild pins and needles sensation,"Could I experience numbness or pins and needles after a clavicle fracture?","Some numbness or mild pins and needles in the fingers or hand may occur due to nerve irritation or swelling near the injury, or nerve stretching during the trauma. This usually resolves over months, but persistent or worsening symptoms warrant medical discussion.","What might cause pins and needles in my hand after a fracture?","Numbness or pins and needles can be caused by irritated nerves or swelling near the fracture, typically resolving over time but requiring medical attention if persistent.","sensation changes, numbness, pins and needles, fingers, hand, nerve irritation, swelling, persistent symptoms"
Clavicle Fracture,Tendon rupture (extensor pollicis longus),"What is extensor pollicis longus rupture?","This is a rare complication where the tendon that lifts the thumb tip tears, potentially requiring a tendon transfer to restore function.","What is a tendon rupture in this context?","It refers to a tear in the extensor pollicis longus tendon, which affects thumb extension and may necessitate a tendon transfer.","tendon rupture, extensor pollicis longus, thumb function, tendon transfer"
Clavicle Fracture,Slightly different appearance of wrist,"Why might my wrist look different after healing?","New bone formation during healing can cause a slight cosmetic change or bump on the wrist, which usually doesn't affect functional use.","Will my wrist look the same after the fracture heals?","The wrist's appearance might change slightly due to new bone formation, but this is generally cosmetic and doesn't impact function.","different appearance, cosmetic change, bump, functional use"
Clavicle Fracture,When can I start driving?,"When is it safe to resume driving after a clavicle fracture?","You can return to driving when you are no longer using your sling, can walk comfortably, and can perform an emergency stop pain-free. Always test your ability to drive in a safe place first.","What are the criteria for returning to driving?","Criteria include being sling-free, walking comfortably, and performing an emergency stop without pain. Test driving ability safely first.","driving, return to driving, no longer using sling, walk comfortably, emergency stop pain-free"
Clavicle Fracture,Thumb pain,"Can I experience thumb pain after a clavicle fracture?","Yes, some patients experience increased thumb pain after a clavicle fracture, but this usually subsides with time. It's important to keep the thumb moving gently without over-stressing it.","Is thumb pain common after this injury?","Yes, thumb pain can occur, but it usually resolves over time with gentle movement.","thumb pain, clavicle fracture, subsides with time, gentle movement"
Clavicle Fracture,Discomfort in the wrist on the little finger side,"What might cause discomfort on the little finger side of the wrist after a fracture?","Discomfort on the little finger side, especially with an accompanying ulna fracture, can occur due to injury to the surrounding ligament complex. This typically resolves over months but may require discussion with a therapist or consultant if problematic.","What causes discomfort on the pinky side of the wrist?","This discomfort can be due to injury to the ligament complex near the little finger side, particularly if there was also an ulna fracture.","discomfort, little finger side, wrist, ulna fracture, ligament complex"
Clavicle Fracture,Numbness or a mild pins and needles sensation,"Could I experience numbness or pins and needles after a clavicle fracture?","Some numbness or mild pins and needles in the fingers or hand may occur due to nerve irritation or swelling near the injury, or nerve stretching during the trauma. This usually resolves over months, but persistent or worsening symptoms warrant medical discussion.","What might cause pins and needles in my hand after a fracture?","Numbness or pins and needles can be caused by irritated nerves or swelling near the fracture, typically resolving over time but requiring medical attention if persistent.","sensation changes, numbness, pins and needles, fingers, hand, nerve irritation, swelling, persistent symptoms"
Clavicle Fracture,Tendon rupture (extensor pollicis longus),"What is extensor pollicis longus rupture?","This is a rare complication where the tendon that lifts the thumb tip tears, potentially requiring a tendon transfer to restore function.","What is a tendon rupture in this context?","It refers to a tear in the extensor pollicis longus tendon, which affects thumb extension and may necessitate a tendon transfer.","tendon rupture, extensor pollicis longus, thumb function, tendon transfer"
Clavicle Fracture,Slightly different appearance of wrist,"Why might my wrist look different after healing?","New bone formation during healing can cause a slight cosmetic change or bump on the wrist, which usually doesn't affect functional use.","Will my wrist look the same after the fracture heals?","The wrist's appearance might change slightly due to new bone formation, but this is generally cosmetic and doesn't impact function.","different appearance, cosmetic change, bump, functional use"
Closed midshaft clavicle fractures AN EVIDENCE-BASED TRIAGE MANAGEMENT ALGORITHM,Aims,"What is the primary goal of this guideline on closed midshaft clavicle fractures?","The review aims to synthesize the literature to formulate an appropriate management algorithm for these injuries in both adolescents and adults.","What is the objective of this evidence-based guideline?","The guideline aims to create a management algorithm for midshaft clavicle fractures based on current evidence, considering both adolescent and adult populations.","aims, research goal, management algorithm, closed midshaft clavicle fractures, adolescents, adults"
Closed midshaft clavicle fractures AN EVIDENCE-BASED TRIAGE MANAGEMENT ALGORITHM,Methods,"What methodology was used to develop this guideline?","A systematic review of clinical studies comparing operative and nonoperative treatments for midshaft clavicle fractures over the past 15 years was conducted using PubMed, Google Scholar, OVID Medline, and Embase.","How was the evidence gathered and analyzed?","A systematic review and meta-analysis were performed using data from clinical studies that compared operative and nonoperative treatments for midshaft clavicle fractures over the last 15 years, searched across multiple databases.","methods, systematic review, meta-analysis, PubMed, Google Scholar, OVID Medline, Embase, search terms"
Closed midshaft clavicle fractures AN EVIDENCE-BASED TRIAGE MANAGEMENT ALGORITHM,Results,"What are the main conclusions regarding operative versus nonoperative treatment for midshaft clavicle fractures?","The majority of meta-analyses show operatively treated fractures have lower nonunion and malunion rates, but functional outcomes are the same at six months for fractures that unite.","What are the key findings regarding treatment outcomes?","Operative treatment shows lower nonunion/malunion rates, but functional outcomes are similar to nonoperative treatment at six months for united fractures.","results, meta-analysis conclusions, operative treatment, nonoperative treatment, nonunion rates, malunion rates, functional outcomes"
Closed midshaft clavicle fractures AN EVIDENCE-BASED TRIAGE MANAGEMENT ALGORITHM,Conclusion,"What is the recommendation for adolescent midshaft clavicle fractures regarding surgery?","Nonoperative management is recommended for adolescents due to insufficient evidence supporting routine operative management.","When should surgery be considered for adolescents with midshaft clavicle fractures?","Routine operative management is not supported by sufficient evidence for adolescents.","adolescent population, insufficient evidence, nonoperative management, operative management"
Closed midshaft clavicle fractures AN EVIDENCE-BASED TRIAGE MANAGEMENT ALGORITHM,Conclusion,"What is the recommendation for adult midshaft clavicle fractures regarding surgery?","For adults over 18, risk factors for nonunion should be discussed, and operative intervention may be offered. Shortening alone is not an indication for surgery. Patients should be reassessed at six weeks.","When should surgery be considered for adult midshaft clavicle fractures?","Surgery may be considered for adults over 18, especially if risk factors for nonunion are present. Shortening alone is not a surgical indication. Reassessment at six weeks is advised.","adult fractures, risk factors, nonunion, operative intervention, shortening, surgical indication, reassessment"
Introduction,Background,"What is the general background on clavicle fractures?","Clavicle fractures are common, particularly in young adults, accounting for 5-10% of adult fractures. Management has evolved over three decades, with controversy existing over which fracture patterns require treatment.","What is the prevalence of clavicle fractures?","Clavicle fractures are common, especially in young adults, representing 5-10% of all adult fractures, with most occurring in the middle third.","background, clavicle fractures, common injury, young adults, management evolution, controversy"
Introduction,Development of a treatment algorithm,"What is the purpose of the proposed algorithm for midshaft clavicle fractures?","The algorithm aims to guide patients and surgeons in making joint decisions about treatment, considering risk factors, displacement controversies, and patient factors to optimize satisfaction and outcomes.","What is the goal of the proposed algorithm?","The algorithm aims to guide shared decision-making for treating displaced midshaft clavicle fractures by considering risk factors and patient needs.","treatment algorithm, displaced midshaft clavicle fractures, guide patients, guide surgeons, joint decision-making, risk factors"
Anatomy of the ankle joint,Joint Structure and Stabilizing Ligaments,"What structures stabilize the ankle joint?","The ankle joint (or talocrural joint) is a hinge-type, synovial joint composed of three bones: the tibia, fibula and talus. The joint is stabilized by three sets of ligaments: 1. lateral ligament complex, 2. medial deltoid ligament, 3. distal tibiofibular syndesmosis ligaments.","What are the three main ligamentous structures supporting the ankle?","The ankle joint is stabilized by the lateral ligament complex, the medial deltoid ligament, and the distal tibiofibular syndesmosis ligaments.","ankle joint, talocrural joint, hinge-type synovial joint, tibia, fibula, talus, stabilizing ligaments, lateral ligament complex, medial deltoid ligament, distal tibiofibular syndesmosis"
Anatomy of the ankle joint,Lateral Ligament Complex,"What are the components of the lateral ligament complex?","The lateral ligament complex originates from the lateral malleolus and consists of three distinct and separate ligaments: the anterior talofibular ligament (ATFL), posterior talofibular ligament (PTFL), and calcaneofibular ligament (CFL).","What are the three ligaments of the lateral ankle?","The lateral ankle ligaments are the anterior talofibular ligament (ATFL), posterior talofibular ligament (PTFL), and calcaneofibular ligament (CFL).","lateral ligament complex, lateral malleolus, anterior talofibular ligament (ATFL), posterior talofibular ligament (PTFL), calcaneofibular ligament (CFL)"
Anatomy of the ankle joint,Medial Deltoid Ligament,"What is the function of the deltoid ligament?","The deltoid ligament attaches to the medial malleolus and prevents valgus tilting of the talus. It consists of superficial and deep components, acting as the primary medial ankle stabilizer.","What does the deltoid ligament do?","It attaches to the medial malleolus, prevents talus valgus tilting, and serves as the primary medial ankle stabilizer.","deltoid ligament, medial malleolus, valgus tilting, talus, primary stabilizer"
Anatomy of the ankle joint,Distal Tibiofibular Syndesmosis,"What ligaments form the distal tibiofibular syndesmosis?","The distal tibiofibular syndesmosis is formed by three major ligaments: the anterior inferior tibiofibular ligament (AITFL), posterior inferior tibiofibular ligament (PITFL), and interosseous tibiofibular ligament (ITFL).","What ligaments constitute the distal tibiofibular syndesmosis?","The syndesmosis is formed by the anterior inferior tibiofibular ligament (AITFL), posterior inferior tibiofibular ligament (PITFL), and interosseous tibiofibular ligament (ITFL).","distal tibiofibular syndesmosis, anterior inferior tibiofibular ligament (AITFL), posterior inferior tibiofibular ligament (PITFL), interosseous tibiofibular ligament (ITFL)"
Pathophysiology,Low ankle sprains,"What is the most common mechanism of ankle injury?","The most common mechanism of ankle injury is ankle inversion, which stresses the lateral ligament complex, particularly the ATFL (anterior talofibular ligament). This typically involves plantar flexion and inversion.","How do low ankle sprains typically occur?","Low ankle sprains usually result from inversion, primarily involving plantar flexion and inversion, affecting the ATFL.","low ankle sprains, common mechanism, inversion, lateral ligament complex, ATFL, plantar flexion"
Pathophysiology,High ankle sprains,"What are high ankle sprains?","Injuries to the distal tibiofibular syndesmosis are known as 'high ankle sprains,' are less common, and typically result from external rotation and/or ankle dorsiflexion, considered high-energy injuries.","What causes high ankle sprains?","High ankle sprains are caused by external rotation and/or ankle dorsiflexion, representing high-energy injuries.","high ankle sprains, distal tibiofibular syndesmosis, less common, external rotation, ankle dorsiflexion"
Risk Factors,Intrinsic and Extrinsic Factors,"What factors increase the risk of ankle sprains?","Risk factors include modifiable intrinsic factors (limited ROM, reduced proprioception, high BMI), non-modifiable intrinsic factors (female sex, previous injury history), modifiable extrinsic factors (sport type, high heels), and non-modifiable extrinsic factors (male athletes).","What are considered intrinsic and extrinsic risk factors for ankle sprains?","Intrinsic factors include modifiable (ROM, proprioception, BMI) and non-modifiable (sex, injury history). Extrinsic factors include modifiable (sport type, footwear) and non-modifiable (male athletes).","risk factors, intrinsic, extrinsic, modifiable, non-modifiable, limited ROM, reduced proprioception, high BMI, female sex, previous injury history, sport type, high heels, male athletes"
Risk Factors,Prognostic Factors,"What factors are associated with good outcomes after an ankle sprain?","Good outcomes are linked to being young, having a low-grade injury, and a low activity level. Poor outcomes are associated with systemic joint laxity, limb/foot malalignment, and previous injury. Ankle joint shape, alignment, and congruence can also affect stability.","What factors predict a positive outcome after an ankle sprain?","Younger age, low-grade injuries, and low activity levels are associated with good outcomes, while joint laxity, malalignment, and prior injury predict poorer outcomes.","prognostic factors, good outcomes, poor outcomes, young age, low-grade injury, low activity level, systemic joint laxity, limb malalignment, previous injury"
Assessment,History and Physical Examination,"What is crucial for assessing an ankle sprain?","History and physical examination are crucial, including mechanism of injury, weight-bearing status, previous trauma, site of swelling/bruising/pain, range of movement, and specific ligament tests (anterior drawer, varus tilt, squeeze, external rotation).","What information is gathered during assessment?","Key assessment components include injury history, physical examination of swelling/pain/ROM, and specific ligament tests.","assessment, history, physical examination, mechanism of injury, weight-bearing status, previous trauma, swelling, bruising, pain, range of movement, anterior drawer test, varus tilt test, squeeze test, external rotation test"
Assessment,Imaging,"What imaging is used for acute ankle sprains?","The Ottawa Ankle rules determine the need for radiographs. Weight-bearing ankle radiographs (AP, mortise, lateral views) are the first choice. CT is useful for detecting associated fractures, while MRI is superior for confirming syndesmotic injuries and ruling out osteochondral lesions.","What imaging is typically used for ankle injuries?","Initial imaging includes weight-bearing radiographs (AP, mortise, lateral views). CT may detect associated fractures, and MRI is best for syndesmotic injuries and osteochondral lesions.","imaging, Ottawa Ankle rules, radiographs, weight-bearing (WB) radiographs, anteroposterior (AP), mortise, lateral views, CT scan, MRI scan, syndesmotic injuries, osteochondral lesions"
Assessment,Differential Diagnosis,"What conditions should be considered when diagnosing an ankle sprain?","Subtalar instability is the most common differential diagnosis to exclude, as it can be difficult to differentiate from lateral ankle instability acutely. Pseudo-instability, the sensation of giving way with pain, should also be differentiated from true instability.","What other conditions might mimic an ankle sprain?","Subtalar instability and pseudo-instability (feeling of giving way with pain) are key differentials to consider.","differential diagnosis, subtalar instability, lateral ankle instability, pseudo-instability, true instability"
Management,Classification,"How are ankle ligamentous injuries classified?","Ankle ligamentous injuries are classified by grade: Grade I (minimal tenderness/swelling), Grade II (moderate tenderness/swelling/instability), and Grade III (significant tenderness/swelling/instability).","What are the different grades of ankle ligamentous injuries?","Injuries are graded from I (minimal) to III (significant), based on tenderness, swelling, and instability.","classification, ankle ligamentous injuries, Grade I, Grade II, Grade III"
Management,Initial Management,"What is the initial management for an ankle sprain?","The initial management within the first 72 hours includes the PRICE protocol (protection, rest, ice, compression, elevation). After 72 hours, mobilization as pain allows is recommended. Grade I and II ankle sprains typically recover in 7-15 days with early physiotherapy. Grade III sprains have controversial treatment, with some studies favoring surgery and recent trials showing comparable results with functional rehabilitation.","What does the PRICE protocol involve?","PRICE stands for Protection (supportive footwear/cast/boot), Rest (relative), Ice (15-20 mins, every few hours, protected), Compression (snug bandage), and Elevation (above knee/hip).","initial management, PRICE protocol, protection, rest, ice, compression, elevation, mobilization, physiotherapy, surgical reconstruction"
