topic,subtopic,question,answer,follow_up_questions,follow_up_answers,keywords
Recovery Timeline,Non-healing Fracture,"What indicates a proximal humerus fracture may not be healing?","Ongoing pain more than 3 months after the injury may indicate a non-healing fracture, although this is very rare for this type of injury.","When should I be concerned about non-healing?","If you experience ongoing pain more than 3 months after the injury, contact the fracture clinic for assessment, as this is rare but possible.","non-healing fracture, ongoing pain, more than 3 months, fracture clinic assessment"
Contact Information,Virtual fracture clinic,"What is the contact information for the Virtual Fracture Clinic?","Contact the Virtual Fracture Clinic at 024 7696 9237 (Monday to Friday, 9am to 4pm). Leave a voicemail with your full name and phone number if they are unavailable. For emergencies outside these hours, go to A&E.","How can I reach the Virtual Fracture Clinic for concerns?","Call 024 7696 9237 during operating hours (Mon-Fri, 9am-4pm) and leave a voicemail if needed. Go to A&E for emergencies.","contact information, Virtual Fracture Clinic, phone number, voicemail, emergencies, A&E"
Contact Information,Translation Services,"What if I need information in another language or format?","The Trust has access to interpreting and translation services. Contact 024 7696 9237, and they will try to meet your needs for information in another language or format.","How can I get this information in a different format?","Contact 024 7696 9237 for assistance with alternative formats or languages.","translation services, interpreting services, another language, alternative format"
Trust Information,Smoke Free Policy,"What is the Trust's policy on smoking?","The Trust operates a smoke-free policy.","What is the policy regarding smoking on Trust property?","The Trust is a smoke-free environment.","smoke-free policy, Trust property"
Trust Information,Feedback,"How can I provide feedback about the Trust's services?","You can have your say by scanning the QR code or visiting www.uhcw.nhs.uk/feedback.","Where can I share my thoughts on the Trust's services?","Provide feedback by scanning a QR code or visiting www.uhcw.nhs.uk/feedback.","feedback, have your say, QR code, website, service improvement"
Document History,Details,"What are the details of this document?","Department: Trauma & Orthopaedics, Contact: 29237, Updated: April 2024, Review: April 2027, Version: 1.4, Reference: HIC/LFT/2495/20.","What is the document's reference number and review date?","The document reference is HIC/LFT/2495/20, updated April 2024, with a review date of April 2027.","document history, department, contact, updated, review, version, reference"
Introduction,Purpose of Leaflet,"What is the purpose of this leaflet on stable ankle fractures?","This leaflet provides general information about the ankle fracture, its management, and rehabilitation after the cast or boot is removed.","What information does this leaflet offer?","It provides general advice on managing the fracture and guides on rehabilitation exercises.","purpose of leaflet, general information, ankle fracture, management, rehabilitation"
Anatomy,Bones of the Ankle Joint,"What bones make up the ankle joint?","The ankle joint comprises four bones: the tibia, fibula (lower leg bones), talus (ankle bone), and calcaneus (heel bone).","What are the anatomical components of the ankle joint?","The ankle joint is formed by the tibia, fibula, talus, and calcaneus.","anatomy, ankle joint, bones, tibia, fibula, talus, calcaneus"
Anatomy,Fracture Locations and Soft Tissue Injury,"Where can ankle fractures occur?","Fractures can occur at any location in one or more of these four bones. Soft tissue injury (damage to muscles, tendons, or ligaments) may also be associated with simple ankle fractures.","What types of injuries can occur with ankle fractures?","Fractures can happen in any of the ankle bones, and soft tissue injuries like ligament or muscle damage may also be present.","fracture locations, soft tissue injury, muscles, tendons, ligaments"
Diagnosis,How will I know I have broken my ankle?,"How is an ankle fracture diagnosed?","An ankle fracture is diagnosed by a clinician examining the ankle in the emergency department and confirmed with an X-ray.","What is the diagnostic process for an ankle fracture?","Diagnosis involves clinical examination by a health professional and confirmation with an X-ray.","diagnosed, ankle fracture, clinician examination, emergency department, X-ray confirmation"
Diagnosis,Common symptoms of a broken ankle include:,"What are the common symptoms of a broken ankle?","Common symptoms include pain, swelling around the ankle and foot, bruising, inability to bear weight, and possible deformity where the ankle looks out of place.","What are the typical signs of a broken ankle?","Symptoms include pain, swelling, bruising, inability to bear weight, and potential deformity of the ankle.","common symptoms, broken ankle, pain, swelling, bruising, inability to bear weight, deformity"
Treatment,Determining Factors,"What factors determine the treatment for an ankle fracture?","The treatment depends on the type of fracture, its position, severity, and the patient's general health.","What influences the choice of treatment?","Treatment decisions are based on the fracture type, position, severity, and the patient's overall health.","treatment factors, fracture type, fracture position, fracture severity, general health"
Treatment,Management of Stable Fractures,"How are stable ankle fractures managed?","Stable fractures are managed non-operatively with a cast or boot to support the ankle. Weight-bearing may be avoided initially, and walking aids are provided. The duration of immobilization depends on healing.","What is the non-operative approach for stable ankle fractures?","Stable fractures are immobilized in a cast or boot, with instructions on weight-bearing and the use of walking aids, depending on the healing process.","stable ankle fracture, non-operative management, cast, boot, support, avoid weight-bearing, walking aids"
What can I do to help the healing process?,Stop smoking,"What is the impact of smoking on ankle fracture healing?","Smoking reduces the body's ability to heal, potentially slowing or stopping fracture healing altogether and increasing infection risk by suppressing the immune system.","Why is smoking cessation advised for fracture healing?","Smoking hinders the body's healing capacity, can stop bone healing, and increases infection risk.","stop smoking, fracture healing, prolongs healing, stops healing, infection risk, immune system"
What can I do to help the healing process?,Manage the swelling,"How can I manage swelling in my ankle fracture?","Keeping your leg raised at regular intervals will help reduce swelling and improve blood circulation and healing. During the first two weeks, keep your foot elevated above your knee more often than down.","What are the best ways to manage swelling?","Raise your leg regularly above knee level, ideally above your heart, to reduce swelling and improve circulation.","manage swelling, keep leg raised, improve blood circulation, healing, foot elevated above knee"
What can I do to help the healing process?,Keeping mobile,"Why is it important to stay mobile with an ankle fracture?","You may not be able to put weight on your leg, but it is important to keep the leg moving and stay mobile to reduce the risk of complications like blood clots.","What are the benefits of staying mobile?","Staying mobile helps reduce the risk of complications such as blood clots, even if weight-bearing is limited.","keeping mobile, reduce risk, complications, blood clots"
What can I do to help the healing process?,Falls prevention,"What precautions should I take to prevent falls when recovering from an ankle fracture?","Take care when moving if non-weight bearing. Ensure rooms and floors are clear of trip hazards like rugs. Take your time when standing up and get your balance before moving.","How can I minimize the risk of falling?","Take precautions against trip hazards, move slowly when standing, and ensure balance before moving.","falls prevention, non-weight bearing, trip hazards, rugs, mats, get balance"
What can I do when I have been advised to remove my cast or boot?,Post-Immobilisation Care,"What symptoms might I experience after my cast or boot is removed?","After immobilization, symptoms like pain, stiffness, decreased strength, muscle wasting, and swelling are common. These should improve over time.","What are common issues after removing a cast or boot?","Expect pain, stiffness, reduced strength, muscle wasting, and swelling, which typically improve gradually.","cast removed, boot removed, common symptoms, pain, stiffness, decreased strength, muscle wasting, swelling"
What can I do when I have been advised to remove my cast or boot?,Managing Post-Immobilisation Symptoms,"How can I manage post-immobilisation symptoms like swelling and pain?","If the ankle is swollen, elevate your foot above your heart, use ice packs (wrapped in a towel for 15-20 mins) to reduce swelling and pain, and perform prescribed exercises.","What self-help measures can reduce post-immobilisation symptoms?","Elevate your foot, use ice packs, and perform recommended exercises to manage swelling, pain, and stiffness.","post-immobilisation care, elevate foot, ice packs, exercises, manage swelling, reduce pain"
What can I do when I have been advised to remove my cast or boot?,Regaining Movement and Strength,"How can I regain ankle movement and strength after immobilization?","Regaining movement and strength can take months. Exercises should be performed regularly ('little and often') within pain limits, progressing gradually. Seek physiotherapy if needed for exercise guidance.","What is the process for regaining ankle function?","Movement and strength improve over months with regular exercises, progressing gradually as pain allows. Physiotherapy can help if needed.","regain movement, regain strength, months, regular exercises, progress gradually, physiotherapy"
What exercises can I do to help my ankle heal quicker?,Ankle movements,"What ankle exercises should I do while sitting or lying down?","Sitting or lying down, point your foot up/down, rotate the sole towards your body, and slide the foot forwards/backwards. Repeat 10-20 times each, 3-5 times a day.","List the recommended ankle mobility exercises.","Exercises include ankle dorsiflexion/plantarflexion, inversion/eversion, and foot slides, performed 3-5 times daily.","ankle exercises, sitting, lying down, point foot, rotate foot, slide foot, repeat 10-20 times, 3-5 times a day"
What exercises can I do to help my ankle heal quicker?,Assisted movements,"How can I perform assisted ankle movements?","Sit with legs straight, use a band/towel around the foot, and pull gently to feel a stretch in the calf.","Describe the assisted calf stretch exercise.","Use a band or towel around the foot, pull towards yourself to feel a calf stretch.","assisted movements, band, towel, calf stretch"
Exercises,Foot slides,"What are foot slides, and how should I do them?","Sit with your foot flat on the floor. Slide your foot forwards and backwards as far as possible while keeping your heel down. Repeat 10-20 times, 3-5 times a day.","How do I perform foot slides?","Sit with your foot flat on the floor, slide it forwards and backwards while keeping your heel down, repeating 10-20 times, 3-5 times daily.","foot slides, ankle mobility, flat on floor, slide forwards and backwards, keep heel down"
Exercises,Weight transfer,"What is a weight transfer exercise?","Hold onto something safe, shift body weight onto the affected leg, supported by your arms, then return to midline. Keep looking forward and maintain shoulder level.","How do I perform a weight transfer exercise?","Stand facing support, shift weight onto the affected leg, return to center, repeat, maintaining posture.","weight transfer, affected leg, support, midline, posture"
Stretches,Calf stretch,"How do I perform a calf stretch?","Stand in a stride stance with the affected leg back. Keep the back knee straight and heel on the floor, bend the front knee until a calf stretch is felt. Hold for 20-30 seconds, repeat 3-5 times, 2-3 times a day.","Describe the calf stretch technique.","Stand in a stride stance with the affected leg back, knee straight, heel down; bend the front knee until a stretch is felt in the back calf. Hold for 20-30 seconds, repeat 3-5 times, 2-3 times daily.","calf stretch, stride stance, back leg, knee straight, heel touching floor, bend front knee, hold 20-30 seconds"
Stretches,Soleus stretch,"How do I perform a soleus stretch?","Stand at a step, place injured foot on it. Bend the front knee forward without lifting the heel until a stretch is felt at the back of the leg or knee won't move further. Hold for 20-30 seconds, repeat 3-5 times, 2-3 times daily.","Describe the soleus stretch method.","Stand on a step with the injured foot, bend the front knee forward without lifting the heel to stretch the back of the leg. Hold 20-30 seconds, repeat 3-5 times, 2-3 times daily.","soleus stretch, back of leg stretch, injured foot on step, bend front knee, hold 20-30 seconds"
Strengthening,Calf raise,"How do I perform a calf raise?","Stand with both feet on the floor, holding onto something safe. Rise onto your toes (lift heels), keeping knees straight. Hold at the top for 2 seconds, then return to the floor. Aim for 3 sets of 10 repetitions.","What is the technique for calf raises?","Stand with feet flat, hold support, rise onto toes, hold, then lower. Aim for 3 sets of 10 repetitions.","calf raise, stand, feet on floor, hold support, rise onto toes, lift heels, knees straight, hold at top, return to floor, 3 sets of 10"
Contact Information,Physiotherapy,"What is the contact number for the Physiotherapy department?","Contact the physiotherapy department on 020 3299 2368 and ask for one of the physiotherapists.","How can I reach physiotherapy for help with exercises?","Call the physiotherapy department on 020 3299 2368 and ask to speak to a physiotherapist.","contact information, physiotherapy, telephone number, ask for physiotherapist"
Contact Information,Fracture Clinic,"What is the contact number for the Fracture Clinic?","If you need to get in touch regarding fracture progress, call 0115 924 9924 Ext: 61260 between 8am and 5pm, Monday to Friday.","How can I contact the Fracture Clinic if I have concerns?","Call the Fracture Clinic at 0115 924 9924 Ext: 61260, Monday to Friday, 8am to 5pm.","contact information, Fracture Clinic, phone number, operating hours"
Contact and Accessibility Information,Queries and Feedback,"Who should I contact if I have questions about my ankle fracture leaflet?","If you have any questions or concerns about your treatment or the leaflet, contact the Fracture Care Team on 020 3299 4041.","Where can I get help if I have questions about my leaflet?","Contact the Fracture Care Team at 020 3299 4041 for questions or concerns about your treatment or the leaflet.","contact information, questions, concerns, fracture care team, phone number"
Contact and Accessibility Information,Alternative Formats,"How can I obtain this leaflet in a different format?","Contact 0800 073 0510 if you need this information in another format such as audio tape, computer disk, Braille, large print, high contrast, British Sign Language, or another language.","What accessibility options are available for this leaflet?","The leaflet can be provided in audio tape, computer disk, Braille, large print, high contrast, British Sign Language, or other languages by calling 0800 073 0510.","alternative formats, accessibility, audio tape, computer disk, Braille, large print, high contrast, British Sign Language, other languages, phone number"
Ankle Fracture Partial Weight Bearing for 4 Weeks,Introduction,"What information is provided in this leaflet?","This leaflet provides information on the ongoing management of your ankle fracture, including a rehabilitation plan to guide your recovery.","What is the purpose of this leaflet?","It provides information on managing your ankle fracture and guides you through the rehabilitation plan.","introduction, ankle fracture, ongoing management, rehabilitation plan"
Ankle Fracture Partial Weight Bearing for 4 Weeks,Health Advice,"What health advice is given regarding smoking and fracture healing?","Medical evidence suggests smoking prolongs fracture healing time and can stop it entirely in extreme cases. Stopping smoking is important for optimal recovery. Advice and support are available via www.smokefree.nhs.uk or your GP.","Why is smoking cessation recommended for fracture healing?","Smoking hinders healing, potentially stopping it altogether, and increases infection risk. Advice is available for cessation.","health advice, smoking cessation, fracture healing, optimal recovery, www.smokefree.nhs.uk, GP advice"
Ankle Fracture Partial Weight Bearing for 4 Weeks,Management Plan Weeks 0-4,"What should I do during the first 0-4 weeks after my ankle fracture?","Wear the boot when walking; remove it at night or for rest. Use crutches for walking. Start Stage 1 Exercises & Advice.","What are the key instructions for the first four weeks?","Wear the boot when walking, use crutches, remove the boot for rest/hygiene, and start Stage 1 exercises.","Weeks 0-4, wear boot, use crutches, start Stage 1 exercises"
Ankle Fracture Partial Weight Bearing for 4 Weeks,Management Plan Weeks 4-6,"What changes should I make between weeks 4 and 6?","Gradually stop using the boot and crutches. Start walking around the house without them, and wear the boot for longer outdoor walks. Begin Stage 2 Exercises.","What is the progression for weeks 4-6?","Transition away from the boot and crutches, start walking without them at home, use the boot for longer distances, and begin Stage 2 exercises.","Weeks 4-6, discontinue boot, discontinue crutches, walk around house, wear boot outdoors, Stage 2 Exercises"
Ankle Fracture Partial Weight Bearing for 4 Weeks,Management Plan Weeks 6-12,"What can I expect regarding healing and activity between weeks 6 and 12?","The fracture should be largely healed. Gradually resume normal activities as pain allows. Heavier tasks may still cause discomfort and swelling. Begin Stage 3 Exercises if needed.","What is the expected status of the fracture by week 6, and what activity level is recommended?","The fracture should be largely healed by week 6; resume normal activities gradually as pain permits, but avoid strenuous tasks that cause discomfort or swelling. Begin Stage 3 exercises if necessary.","Weeks 6-12, fracture healed, resume normal activity, pain guided, heavy tasks, discomfort, swelling, Stage 3 Exercises"
Ankle Fracture Partial Weight Bearing for 4 Weeks,Management Plan Weeks 12+,"What should I do after 12 weeks if symptoms persist?","Symptoms will continue to improve over the next few months. If you still have significant pain and/or stiffness, contact us for further advice/management.","When should I seek further medical advice after 12 weeks?","Contact the provider if significant pain and/or stiffness persist beyond 12 weeks.","Weeks 12+, symptoms improve, significant pain, significant stiffness, contact for advice"
Ankle Fracture Partial Weight Bearing for 4 Weeks,Exercises,,"What are Stage 1 exercises for ankle fractures?","Stage 1 exercises include: Ankle & Foot Range of Movement: 1. Point foot up/down. 2. Turn foot inwards/outwards (keeping leg still). 3. Make circles with foot. Advice: Cold packs, Rest and elevation, Early movement and exercise.","List the initial exercises and advice.","Exercises include ankle up/down, in/out rotations, and circles. Advice covers cold packs, rest, elevation, and early movement.","Stage 1 exercises, ankle range of movement, foot range of movement, point foot up and down, turn foot outwards, turn foot inwards, ankle circles, cold packs, rest, elevation, early movement"
Ankle Fracture Partial Weight Bearing for 4 Weeks,Exercises,,"What are Stage 2 exercises for ankle fractures?","Stage 2 exercises include ankle stretches: 1. Sit with leg straight, use towel to pull foot towards you for calf stretch. 2. Sit with ankle crossed over other knee, stretch top of foot/ankle. 3. Place injured foot on chair behind you, point foot down to stretch front of foot/ankle. Hold stretches for 30 seconds, repeat 3 times.","Describe Stage 2 ankle stretches.","These involve calf stretches using a towel, and stretches for the top of the foot/ankle by crossing the leg or using a chair. Hold each stretch for 30 seconds, repeating 3 times.","Stage 2 exercises, ankle stretches, calf stretch, top of foot stretch, front of ankle stretch, towel, chair"
Ankle Fracture Partial Weight Bearing for 4 Weeks,Exercises,,"What are the balance exercises for ankle fractures?","Level 1 (for those who couldn't balance on one leg before): a) Stand with feet close together, hold support. b) Balance without support. c) Tandem stance (one foot in front of other), hold support, then without. Level 2 (for those who could balance on one leg): a) Stand on injured leg, hold support. b) Balance without support. c) Balance with eyes closed. Always stand in a safe place.","Describe the balance exercises for ankle fractures.","Exercises progress from basic stances to single-leg balance, with options for eyes closed or uneven surfaces, emphasizing safety and gradual progression.","balance exercises, Level 1, Level 2, close feet together, hold support, balance without support, tandem stance, eyes closed, uneven surface"
Ankle Fracture Partial Weight Bearing for 4 Weeks,Exercises,,"What are heel raises, and how should I perform them?","Stand with feet flat on the floor, holding onto something stable. Rise onto your toes (lift heels), keeping knees straight. Hold at the top for 2 seconds, then return to the floor. Aim for 3 sets of 10 repetitions.","How do I perform heel raises?","Stand with feet flat, hold support, rise onto toes, hold, and lower. Aim for 3 sets of 10 repetitions.","heel raises, stand, feet flat, hold support, rise onto toes, knees straight, hold at top"
Ankle Fracture Partial Weight Bearing for 4 Weeks,Exercises,,"What are the advanced exercises for sports rehabilitation?","Level 1 includes balancing on an uneven surface (pillow/wobble cushion) for 30 seconds, with eyes closed progression. Level 2 involves standing with feet together or heel-to-toe, swinging arms, and eyes closed variations.","Describe the advanced exercises for sports rehabilitation.","These advanced exercises focus on dynamic ankle and core control, including balancing on uneven surfaces, with eyes closed, and performing dynamic arm movements.","advanced exercises, sports rehabilitation, uneven surface, wobble cushion, eyes closed, dynamic ankle control, dynamic core control, arm swings"
Contact Information,Hospital Details,"What is the contact information for the Fracture Clinic and Emergency Department?","Fracture Clinic: 0151 430 4905 (9am-5pm Mon-Fri). Emergency Department: 0151 430 2399. Whiston Hospital, Warrington Road, Prescot, Merseyside, L35 5DR. Telephone: 0151 426 1600. www.sthk.nhs.uk.","What are the contact details for the hospital services mentioned?","Contact the Fracture Clinic (0151 430 4905), Emergency Department (0151 430 2399), or the main hospital line (0151 426 1600).","contact information, Fracture Clinic, Emergency Department, Whiston Hospital, telephone, website"
Ankle Fracture,Introduction,"What information is provided in this leaflet about ankle fractures?","This leaflet provides general information about ankle fractures, their diagnosis, treatment, and post-cast removal exercises.","What is the purpose of this leaflet?","It aims to provide general information about ankle fractures and guidance on treatment and rehabilitation.","introduction, ankle fracture, general information, diagnosis, treatment, rehabilitation"
Ankle Fracture,Definition and Anatomy,"What is an ankle fracture?","A fracture is a bone break. The ankle joint involves the tibia, fibula, talus, and calcaneus bones. Ankle fractures can affect one or more of these bones and may also involve ligament damage.","What bones are involved in an ankle fracture?","The ankle joint is formed by the tibia, fibula, talus, and calcaneus bones.","ankle fracture, bone break, talus, tibia, fibula, calcaneus, ligament damage"
Ankle Fracture,Causes of Injury,"What causes ankle fractures?","Ankle fractures typically result from impact, falls, or twists, and can affect one or more of the ankle bones, often with associated ligament damage.","What are the common mechanisms of ankle fracture?","Impact, falls, and twists are common causes, often resulting in bone fractures and potential ligament damage.","ankle fracture causes, impact, falls, twists, ligament damage"
Ankle Fracture,How will I know I have fractured my ankle?,"What are the common symptoms of a broken ankle?","Common symptoms include pain, swelling, bruising, inability to bear weight, and possible deformity.","What signs indicate a potential ankle fracture?","Symptoms like pain, swelling, bruising, inability to bear weight, and deformity suggest an ankle fracture.","ankles fracture symptoms, pain, swelling, bruising, inability to bear weight, deformity"
Ankle Fracture,What treatment will I receive?,"How is ankle fracture treatment determined?","Treatment depends on the fracture type, its position, severity, and the patient's general health. Fractures that are stable and aligned are managed conservatively; unstable or misaligned fractures may require surgery.","What factors influence the treatment decision?","The treatment choice is based on the fracture's type, alignment, severity, and the patient's overall health.","treatment, fracture type, fracture position, fracture severity, general health, conservative management, surgery"
Ankle Fracture,Conservative management,"What does conservative management for a stable ankle fracture involve?","Stable fractures are immobilized in a below-the-knee plaster cast or a special walking boot. Weight-bearing may be avoided initially, with crutches or a walking frame provided. Immobilization duration depends on healing.","What are the non-surgical treatment options?","Stable fractures are treated with immobilization using a cast or boot, possibly with crutches or a walking frame, and varying weight-bearing instructions.","conservative management, stable fracture, plaster cast, walking boot, immobilization, crutches, walking frame, weight bearing"
Ankle Fracture,Surgery,"When is surgery required for an ankle fracture?","Surgery may be needed if the bone is out of alignment or unstable, requiring fixation with plates and screws. The doctor will explain the procedure in detail.","What indicates the need for surgical intervention?","Surgery is required for unstable or misaligned fractures that need fixation with plates and screws.","surgery, operative treatment, bone alignment, unstable fracture, plates and screws"
Ankle Fracture,Preparing for surgery,"What happens before ankle surgery?","The doctor may manipulate the injured ankle under anesthesia to improve alignment, reduce swelling and pain, and decrease the likelihood of future complications. The anesthetist will discuss anesthesia options, and the doctor will explain the surgery.","What preparations are made before surgery?","Pre-surgery involves manipulation under anesthesia for alignment, swelling reduction, pain management, and anesthesia discussion with the anesthetist.","preparing for surgery, manipulate ankle, anesthesia, reduce swelling, reduce pain, decrease complications"
Ankle Fracture,What are the risks of surgery?,"What are the potential risks of ankle surgery?","Risks include anesthetic complications, bleeding, poor wound healing, non-union or malunion of bones, infection, nerve/blood vessel injuries, blood clots (DVT/PE), osteoarthritis, and potential need for hardware removal.","What complications can arise from ankle surgery?","Potential complications include those related to anesthesia, wound healing, bone union, infection, nerve/vessel damage, blood clots, osteoarthritis, and hardware issues.","risks of surgery, complications, anesthetic, bleeding, poor wound healing, non-union, malunion, infection, nerve injuries, blood vessel injuries, blood clots, DVT, PE, osteoarthritis, hardware removal"
For ward admissions prior to discharge,Discharge Planning and Information,"What discharge planning information is typically provided?","Prior to discharge, a physiotherapist assesses mobility with crutches and may conduct a stair assessment. They provide advice for rehabilitation. An occupational therapist checks for home adaptations. A discharge letter for the GP explains treatment. Continue pain relief and follow doctor's advice on weight-bearing. Metabolic workup or falls clinic referral may occur. Follow-up appointments are usually at 6-8 weeks. Sick notes can be requested. Information on cast care, osteoporosis, diet, smoking, falls prevention, and DVT is available.","What information is given upon discharge?","Discharge planning includes physiotherapy assessment, home safety checks, a GP letter, pain relief advice, potential referrals, follow-up appointments, and information leaflets on various health topics.","discharge planning, physiotherapy assessment, occupational therapist, home adaptations, discharge letter, GP, pain relief, metabolic workup, falls clinic, follow-up appointment, sick note"
How long will my ankle take to recover?,Recovery Timeline,"What is the expected recovery timeline for an ankle fracture?","Recovery depends on fracture type, treatment, and general health. Bones take 6-8 weeks to heal, but regaining full movement and strength can take up to a year. Smoking and diabetes can prolong healing. Additional X-rays may monitor healing. Follow doctor's advice on weight-bearing.","How long does it typically take to recover from an ankle fracture?","Bone healing usually takes 6-8 weeks, but full recovery of movement and strength can take up to a year. Smoking and diabetes can affect healing time.","recovery timeline, fracture type, treatment method, general well-being, bone healing, regain movement, regain strength, smoking, diabetes"
What should I expect when my cast is removed?,"Post-cast Symptoms and Management,"What symptoms might I experience after my cast is removed?","After cast removal, common symptoms include pain, stiffness, decreased ankle strength, muscle wasting, and swelling. These should improve over time with exercises.","What are common issues after a cast is removed?","Expect pain, stiffness, reduced strength, muscle wasting, and swelling, which should gradually improve with exercises.","cast removed, post-cast symptoms, pain, stiffness, decreased strength, muscle wasting, swelling, exercises"
What should I expect when my cast is removed?,"Post-cast Symptoms and Management,"How can I manage symptoms like swelling and pain after cast removal?","Elevate your foot to minimize swelling. Apply ice (wrapped in a towel) for 15-20 minutes every 2-3 hours. Start exercises as advised by your doctor or physiotherapist, progressing as tolerated.","What self-help measures can I use to manage post-cast symptoms?","Self-help includes elevating the foot, applying ice, and performing prescribed exercises as pain allows.","swelling management, pain management, elevate foot, ice pack, exercises"
When should I go back to hospital?,"Red Flag Symptoms,"What symptoms require immediate hospital attention after an ankle fracture?","Contact the hospital immediately if you experience extreme pain, swelling, or tenderness in your leg/calf/thigh, numbness or pins and needles in toes, blue or cold skin, foul-smelling wound discharge, severe pain not eased by painkillers, or significant foot/leg swelling.","What are the warning signs that require urgent medical attention?","Seek immediate care for severe pain/swelling, altered sensation, skin discoloration, wound discharge, unbearable pain, or significant limb swelling.","red flag symptoms, hospital attention, extreme pain, swelling, tenderness, numbness, pins and needles, blue skin, cold skin, foul smelling discharge, unbearable pain"
Seek medical advice,Contact Information,"Where can I get help if I have questions about my ankle fracture or the leaflet?","If you have questions or problems during treatment, contact the ward staff, the Fracture Clinic at Russells Hall Hospital (01384 456111 ext. 2220, Mon-Fri 8:30am-5pm), or the physiotherapy department (01384 456111 ext. 4072).","What are the contact details for help and further information?","Contact the ward staff, Fracture Clinic (01384 456111 ext. 2220), or Physiotherapy (01384 456111 ext. 4072) for help or questions.","seek medical advice, contact information, ward staff, Fracture Clinic, Russells Hall Hospital, physiotherapy department"
Out of cast ankle exercises,Purpose and General Instructions,"What is the purpose of out-of-cast ankle exercises?","These exercises help regain ankle movement and strength, reduce swelling and stiffness, and are designed to be performed daily as pain allows.","What are the goals of these exercises?","The goals are to improve ankle movement, strength, reduce swelling, and prevent stiffness.","out of cast exercises, purpose, regain movement, regain strength, reduce swelling, reduce stiffness, perform daily"
